name_of_satellite_alternate_names, country_org_of_un_registry, country_of_operator_owner, operator_owner, users, purpose, detailed_purpose, class_of_orbit, type_of_orbit, longitude_of_geo_degrees, perigee_km, apogee_km, eccentricity, inclination_degrees, period_minutes, launch_mass_kg, dry_mass_kg, power_watts, date_of_launch, expected_lifetime, contractor, country_of_contractor, launch_site, launch_vehicle, cospar_number, norad_number, comments, column_ab, source_used_for_orbital_data, source, source_2, source_3, source_4, source_5, source_6, launch_year, launch_of_the_year, piece_of_the_launch, multiple_name_flag, payload_flag, operational_status_code, satellite_name, source_or_ownership, launch_date, launch_site, decay_date, orbital_period, inclination, apogee_altitude, perigee_altitude, radar_cross_section, orbital_status_code
RapidEye-3 (RapidEye D), Germany, Germany, RapidEye AG, Commercial, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 621, 637, 0.001143020431490213, 97.9, 97.3, 175, 150, null, 2008-08-29, 7 yrs., Surrey Satellite Technology. Ltd., United Kingdom, Baikonur Cosmodrome, Dnepr, 2008-040D, 33315, null, null, www.satellitedebris.net 12/12, null, null, null, null, null, null, 2008, 40, D, null, *, +, RAPIDEYE 3, GER, 2008-01-29, TYMSC, null, 97.8, null, 635, 618, 0.369, null
RapidEye-4 (RapidEye E), Germany, Germany, RapidEye AG, Commercial, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 621, 638, 0.0012143724551753696, 97.9, 97.3, 175, 150, null, 2008-08-29, 7 yrs., Surrey Satellite Technology. Ltd., United Kingdom, Baikonur Cosmodrome, Dnepr, 2008-040E, 33316, null, null, www.satellitedebris.net 12/12, null, null, null, null, null, null, 2008, 40, E, null, *, +, RAPIDEYE 4, GER, 2008-01-29, TYMSC, null, 97.8, null, 634, 618, 0.4037, null
Astra 1N, Luxembourg, Luxembourg, SES (Société Européenne des Satellites (SES)), Commercial, Communications, null, GEO, null, 28.2, 35715, 35780, 0.000771650739003977, 0.12, 1434.1, 5350, null, null, 2011-08-06, 15 yrs., EADS Astrium, France, Guiana Space Center, Ariane 5 ECA, 2011-041A, 37775, Direct-to-home and HD television., null, SC - ASCR 9/11, http://en.ses.com/4628614/astra-1n, http://www.lib.cas.cz/space.40/2011/041A.HTM, http://en.ses.com/4233325/news/2011/7722694, null, null, null, 2011, 41, A, null, *, +, ASTRA 1N, SES, 2011-01-06, FRGUI, null, 0.1, null, 35810, 35762, 7.9433, null
RapidEye-5 (RapidEye B), Germany, Germany, RapidEye AG, Commercial, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 617, 642, 0.0017858418458461319, 97.9, 97.3, 175, 150, null, 2008-08-29, 7 yrs., Surrey Satellite Technology. Ltd., United Kingdom, Baikonur Cosmodrome, Dnepr, 2008-040B, 33313, null, null, www.satellitedebris.net 12/12, null, null, null, null, null, null, 2008, 40, B, null, *, +, RAPIDEYE 5, GER, 2008-01-29, TYMSC, null, 97.8, null, 638, 614, 0.3951, null
RASAT, Turkey, Turkey, Space Technologies Research Institute, Government, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 667, 697, 0.002127056154282473, 98.2, 98.4, 113, null, null, 2011-08-17, 3 yrs., Space Technologies Research Institute, Turkey, Dombarovsky Air Base, Dnepr 1 , 2011-044D, 37791, Primary objectives are to advance Turkish space technology and know-how and observe natural and manmade disasters. monitor coastline changes and pollution. detect illegal settlements and urban land changes. and update existing maps., null, www.satellitedebris.net 12/12, http://www.asmmag.com/201108192003/rasat-earth-observation-satellite-puts-turkey-in-space.html, http://www.lib.cas.cz/space.40/2011/044D.HTM, null, null, null, null, 2011, 44, D, null, *, +, RASAT, TURK, 2011-01-17, DLS, null, 98.1, null, 694, 662, 0.581, null
Rascom-QAF 1R, NR, Multinational, Regional African Satellite Communications Organization (RASCOM), Commercial, Communications, null, GEO, null, 2.85, 35786, 35787, 0.000011860567172322181, 0.01, 1436.1, 3050, 1390, null, 2010-08-04, 15 yrs., Thales Alenia Space, France, Guiana Space Center, Ariane 5, 2010-037B, 36831, Low cost communications for sub-Saharan Africa; multinational organization., null, SC - ASCR , http://nssdc.gsfc.nasa.gov/spacewarn/spx682.html, null, null, null, null, null, 2010, 37, B, null, *, +, RASCOM-QAF 1R, RASC, 2010-01-04, FRGUI, null, 0, null, 35807, 35766, 65.9677, null
Reimei (Innovative Technology Demonstration Experiment Satellite - INDEX), Japan, Japan, Institute of Space and Astronautical Science (ISAS)/Japan Aerospace Exploration Agency (JAXA), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 595, 638, 0.003077363486724397, 98, 97, 70, null, null, 2005-08-23, null, Institute of Space and Astronautical Science (ISAS), Japan, Baikonur Cosmodrome, Dnepr, 2005-031B, 28810, Aurora observations and in-orbit verification of new technologies., null, www.satellitedebris.net 12/12, http://www.spacetoday.net/Summary/3053, http://host.planet4589.org/space/jsr/back/news.553, http://www.lib.cas.cz/www/space.40/2005/031B.HTM, null, null, null, 2005, 31, B, null, *, +, REIMEI (INDEX), JPN, 2005-01-23, TYMSC, null, 98.2, null, 617, 576, 0.5743, null
Relek (ICA-FC1), Russia, Russia , Skobeltsyn Institute of Nuclear Physics, Government, Earth Observation, Earth Science, LEO, Sun-Synchronous, 0, 623, 819, 0.013820335636722606, 98.38, 99.22, 253, 55, null, 2014-07-08, null, NPO Lavochkin, Russia, Baikonur Cosmodrome, Soyuz-2.1b, 2014-037B, 40070, Study charged particles in the Earth's radiation belts., null, ZARYA, http://space50.kosmo.cz/objekt.php?mot=2014-037B&jazyk=pp_cz, http://www.russianspaceweb.com/karat2_relek.html, http://www.sinp.msu.ru/en, null, null, null, 2014, 37, B, null, *, +, MKA-PN 2 (RELEC), CIS, 2014-01-08, TYMSC, null, 98.1, null, 816, 622, 1.371, null
Resourcesat 2 (exactView-2), India, India/Canada, Indian Space Research Organization (ISRO)/exactEarth, Government, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 817, 823, 0.0004172461752433936, 98.7, 101.3, 1206, null, null, 2011-04-20, 5 yrs., Indian Space Research Organization (ISRO), India, Satish Dhawan Space Center, PSLV C16, 2011-015A, 37387, Follow-on to Resourcesat 1; will provide data with enhanced multispectral and spatial coverage as well., null, www.satellitedebris.net 12/12, http://www.isro.org/satellites/resourcesat-2.aspx, http://www.lib.cas.cz/space.40/2011/015A.HTM, null, null, null, null, 2011, 15, A, null, *, +, RESOURCESAT-2, IND, 2011-01-20, SRILR, null, 98.7, null, 823, 816, 5.5918, null
Resurs-DK1 (Resurs - High Resolution 1), Russia, Russia, TsSKB Progress (State Research & Production Space Rocket Center), Government/Commercial, Earth Observation, Optical Imaging, LEO, Non-Polar Inclined, 0, 564, 571, 0.0005045045045045045, 69.9, 96, 6650, null, null, 2006-06-15, 3 yrs., TsSKB Progress (State Research & Production Space Rocket Center), Russia, Baikonur Cosmodrome, Soyuz-Fregat, 2006-021A, 29228, First non-military earth observation satellite for Russia., null, www.satellitedebris.net 12/12, http://directory.eoportal.org/pres_ResursDK1ResursHighResolution1.html, http://www.lib.cas.cz/www/space.40/2006/021A.HTM, http://www.russianspaceweb.com/resurs_dk.html, http://eng.ntsomz.ru/news/news_center/resusrs_dk1_8let, null, null, 2006, 21, A, null, *, +, RESURS-DK 1, CIS, 2006-01-15, TYMSC, null, 69.9, null, 562, 556, 8.7657, null
Resurs-P1, Russia, Russia, Russian Federal Space Agency (Roskosmos), Government/Commercial, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 459, 472, 0.0009509180016092459, 97.2, 93.9, 5900, null, null, 2013-06-25, 3 yrs., TsSKB Progress (State Research & Production Space Rocket Center), Russia, Baikonur Cosmodrome, Soyuz-2.1b, 2013-030A, 39186, To replace first Resurs., null, SC - ASCR, http://space50.kosmo.cz/s40/2013/I030A.HTM, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, 2013, 30, A, null, *, +, RESURS P1, CIS, 2013-01-25, TYMSC, null, 97.3, null, 479, 455, 7.355, null
Resurs-P2, Russia, Russia, Russian Federal Space Agency (Roskosmos), Government/Commercial, Earth Observation/Communications/Space Science, Optical Imaging/Automatic Identification System (AIS), LEO, Sun-Synchronous, 0, 461, 472, 0.0008045052292839903, 97.29, 93.93, 5900, null, null, 2014-12-26, 3 yrs., TsSKB Progress (State Research & Production Space Rocket Center), Russia, Baikonur Cosmodrome, Soyuz 2-1b, 2014-087A, 40360, Carries an AIS receiver to caputre position and movement from ships at sea. Also instruments to study antimatter. dark matter and strange matter., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, https://directory.eoportal.org/web/eoportal/satellite-missions/r/resurs-dk1, null, null, null, null, 2014, 87, A, null, *, +, RESURS P2, CIS, 2014-01-26, TYMSC, null, 97.3, null, 472, 461, 8.331, null
Resurs-P3, NR (6/16), Russia, Russian Federal Space Agency (Roskosmos), Government/Commercial, Earth Observation, null, LEO, Sun-Synchronous, null, 469, 472, 0.0002192822162122652, 97.28, 94.01, 5900, null, null, 2016-03-13, 5 yrs., TsSKB Progress (State Research & Production Space Rocket Center), Russia, Baikonur Cosmodrome, Soyuz 2-1b, 2016-016A, 41386, null, null, Space50, https://directory.eoportal.org/web/eoportal/satellite-missions/r/resurs-p#resurs-p3, http://space50.org/objekt.php?mot=2016-016A&jazyk=pp_en, http://spaceflightnow.com/2016/03/13/russian-earth-observing-satellite-delivered-to-orbit/, null, null, null, 2016, 16, A, null, *, +, RESURS P3, CIS, 2016-01-13, TYMSC, null, 97.3, null, 470, 462, 7.66, null
Astra 2A , Luxembourg, Luxembourg, SES (Société Européenne des Satellites (SES)), Commercial, Communications, null, GEO, null, 28.16, 35776, 35797, 0.0002490719106187658, 0.08, 1436.12, 3635, 2.500 (BOL), 7000, 1998-08-30, 15 yrs., Hughes, USA, Baikonur Cosmodrome, Proton K, 1998-050A, 25462, Voice and video communications to Europe; 32 Ku-band for first five years. 28 after., null, JM/12_08, www.astra.lu/corporate/satellites/fleet, http://www.lib.cas.cz/www/space.40/1998/050A.HTM, http://www.ses-astra.com/satellites/fleet/satellites.php?sat=2, null, null, null, 1998, 50, A, null, *, +, ASTRA 2A, SES, 1998-01-30, TYMSC, null, 0.7, null, 35800, 35775, 18.8958, null
RISat-1 (Radar Imaging Satellite 1), India, India, Ministry of Defense, Military, Earth Observation, Radar Imaging, LEO, Sun-Synchronous, 0, 538, 541, 0.00021709240900209855, 97.6, 95.4, 1858, null, null, 2012-04-25, null, Indian Space Research Organization (ISRO), India, Satish Dhawan Space Center, PSLV XL, 2012-017A, 38248, The country's first indigenous radar observation satellite., null, www.satellitedebris.net 12/12, http://www.spaceflightnow.com/news/n1204/25pslv/, http://planet4589.org/space/jsr/back/news.658, null, null, null, null, 2012, 17, A, null, *, +, RISAT-1, IND, 2012-01-26, SRILR, null, 97.6, null, 539, 535, 2.6249, null
RISat-2 (Radar Imaging Satellite 2), India, India, Ministry of Defense, Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 415, 427, 0.0008835223089383007, 41.22, 41.2, 93, null, null, 2009-04-20, null, Israel Aircraft Industries (IAI), Israel, Satish Dhawan Space Center, PSLV C12, 2009-019A, 34807, First dedicated military surveillance satellite; rushed out after terrorist attack on Mumbai., null, www.satellitedebris.net 12/12, http://timesofindia.indiatimes.com/Health--Science/Science/RISAT-2-not-a-spy-satellite-ISRO-chief/articleshow/4422951.cms, http://www.defensenews.com/story.php?i=4047490, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2009/019A.HTM, null, null, null, 2009, 19, A, null, *, +, RISAT-2, IND, 2009-01-20, SRILR, null, 41.2, null, 456, 449, 1.635, null
Rising-2, Japan, Japan, Tohoku University/Hokkaido University, Civil, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 625, 630, 0.0003572704537334762, 97.88, 97.27, 41, null, 42, 2014-05-24, null, Tohoku University/Hokkaido University, Japan, Tanegashima Space Center, H-2A, 2014-029D, 39769, Earth observation with a resolution of ~ 5 m. In particular. high-resolution cumulonimbus scenes will be observed using the LCTF (Liquid Tunable Multispectral Filter) technique., null, ZARYA, https://directory.eoportal.org/web/eoportal/satellite-missions/r/rising-2, http://www.sciencedaily.com/releases/2014/07/140716090908.htm, null, null, null, null, 2014, 29, D, null, *, +, RISING 2, JPN, 2014-01-24, TANSC, null, 97.9, null, 625, 621, 0.301, null
Rodnik (Cosmos 2416. Strela 3M), Russia, Russia, Ministry of Defense, Military, Communications, null, LEO, Polar, 0, 1436, 1448, 0.0007680491551459293, 82.5, 114.7, 225, null, null, 2005-12-21, null, NPO-PM, Russia, Plesetsk Cosmodrome, Kosmos 3M, 2005-048B, 28908, Believed to be replacement system for Strela-3 store and dump communications., null, www.satellitedebris.net 12/12, http://nssdc.gsfc.nasa.gov/spacewarn/spx626.html, http://russianforces.org/eng/news/archive/000661.shtml, null, null, null, null, 2005, 48, A, null, *, +, COSMOS 2416, CIS, 2005-01-21, PLMSC, null, 82.5, null, 1447, 1436, 1.529, null
Rodnik (Cosmos 2437. Strela 3M), Russia, Russia, Ministry of Defense, Military, Communications, null, LEO, Polar, 0, 1480, 1511, 0.0019706312376835547, 82.5, 115.9, 280, null, 300, 2008-05-23, 5 yrs., OAO ISS, Russia, Plesetsk Cosmodrome, Rokot, 2008-025B, 32954, Rodnik communications satellite. Believed to replace the Strela system., null, www.satellitedebris.net 12/12, http://nssdc.gsfc.nasa.gov/spacewarn/spx655.html, http://www.lib.cas.cz/space.40/2008/I024A.HTM, http://russianforces.org/blog/2008/05/launch_of_three_gonetsm_spacec.shtml, http://russianforces.org/blog/2005/11/strela3_is_now_rodnik.shtml, null, null, 2008, 25, B, null, *, +, COSMOS 2437, CIS, 2008-01-23, PLMSC, null, 82.5, null, 1510, 1480, 0.8736, null
Rodnik (Cosmos 2438. Strela 3M), Russia, Russia, Ministry of Defense, Military, Communications, null, LEO, Polar, 0, 1477, 1509, 0.0020348467506040952, 82.5, 115.8, 280, null, 300, 2008-05-23, 5 yrs., OAO ISS, Russia, Plesetsk Cosmodrome, Rokot, 2008-025C, 32955, null, null, www.satellitedebris.net 12/12, http://nssdc.gsfc.nasa.gov/spacewarn/spx655.html, http://www.lib.cas.cz/space.40/2008/I024A.HTM, http://russianforces.org/blog/2008/05/launch_of_three_gonetsm_spacec.shtml, http://russianforces.org/blog/2005/11/strela3_is_now_rodnik.shtml, null, null, 2008, 25, C, null, *, +, COSMOS 2438, CIS, 2008-01-23, PLMSC, null, 82.5, null, 1508, 1477, 0.9307, null
Rodnik (Cosmos 2439. Strela 3M), Russia, Russia, Ministry of Defense, Military, Communications, null, LEO, Polar, 0, 1478, 1510, 0.002034587995930824, 82.5, 115.8, 280, null, 300, 2008-05-23, 5 yrs., OAO ISS, Russia, Plesetsk Cosmodrome, Rokot, 2008-025D, 32956, null, null, www.satellitedebris.net 12/12, http://nssdc.gsfc.nasa.gov/spacewarn/spx655.html, http://www.lib.cas.cz/space.40/2008/I024A.HTM, http://russianforces.org/blog/2008/05/launch_of_three_gonetsm_spacec.shtml, http://russianforces.org/blog/2005/11/strela3_is_now_rodnik.shtml, null, null, 2008, 25, D, null, *, +, COSMOS 2439, CIS, 2008-01-23, PLMSC, null, 82.5, null, 1509, 1479, 0.8827, null
Rodnik (Cosmos 2451. Strela 3M), Russia, Russia, Ministry of Defense, Military, Communications, null, LEO, Polar, 0, 1498, 1509, 0.0006985457547469359, 82.5, 116, 280, null, 300, 2009-07-06, 5 yrs., OAO ISS, Russia, Plesetsk Cosmodrome, Rokot, 2009-036A, 35498, null, null, www.satellitedebris.net 12/12, http://russianforces.org/blog/2009/07/rockot_launched_three_communic.shtml, http://nssdc.gsfc.nasa.gov/spacewarn/spx669.html, null, null, null, null, 2009, 36, A, null, *, +, COSMOS 2451, CIS, 2009-01-06, PLMSC, null, 82.5, null, 1510, 1497, 0.7842, null
Rodnik (Cosmos 2453. Strela 3M), Russia, Russia, Ministry of Defense, Military, Communications, null, LEO, Polar, 0, 1495, 1506, 0.0006988120195667365, 82.5, 116, 280, null, 300, 2009-07-06, 5 yrs., OAO ISS, Russia, Plesetsk Cosmodrome, Rokot, 2009-036C, 35500, null, null, www.satellitedebris.net 12/12, http://russianforces.org/blog/2009/07/rockot_launched_three_communic.shtml, http://nssdc.gsfc.nasa.gov/spacewarn/spx669.html, null, null, null, null, 2009, 36, C, null, *, +, COSMOS 2453, CIS, 2009-01-06, PLMSC, null, 82.5, null, 1507, 1494, 0.8179, null
Rodnik (Cosmos 2467. Strela 3M), Russia, Russia, Ministry of Defense, Military, Communications, null, LEO, Polar, 0, 1493, 1496, 0.00019073049780659929, 82.5, 115.9, 225, null, null, 2010-09-08, 3 yrs., OAO ISS, Russia, Plesetsk Cosmodrome, Rokot, 2010-043A, 37152, Store-dump communications for Russian government and military., null, www.satellitedebris.net 12/12, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/043A.HTM&act=print, http://russianforces.org/blog/2010/09/gonets-m_strela-3_and_strela-3.shtml, null, null, null, null, 2010, 43, A, null, *, +, COSMOS 2467, CIS, 2010-01-08, PLMSC, null, 82.5, null, 1496, 1492, 1.654, null
Astra 2B , Luxembourg, Luxembourg, SES (Société Européenne des Satellites (SES)), Commercial, Communications, null, GEO, null, 31.33, 35772, 35801, 0.00034395644799734324, 0.07, 1436.11, 3315, 1400, 7800, 2000-09-14, 14yrs., Astrium, France/UK/Germany, Guiana Space Center, Ariane 5G, 2000-054A, 26494, Direct-to-home; broadcasting. multimedia; 30 Ku-band for first five years. 28 after; UK and Ireland., null, JM/12_08, www.astra.lu/corporate/satellites/fleet, http://nssdc.gsfc.nasa.gov/spacewarn/spx563.html, http://www.ses-astra.com/satellites/fleet/satellites.php?sat=13, http://www.planet4589.org/space/jsr/back/news.435, null, null, 2000, 54, A, null, *, +, ASTRA 2B, SES, 2000-01-14, FRGUI, null, 3.6, null, 35809, 35762, 17, null
Rodnik (Cosmos 2468. Strela 3M), Russia, Russia, Ministry of Defense, Military, Communications, null, LEO, Polar, 0, 1484, 1505, 0.0013351134846461949, 82.5, 115.9, 225, null, null, 2010-09-08, 3 yrs., OAO ISS, Russia, Plesetsk Cosmodrome, Rokot, 2010-043C, 37154, Store-dump communications for Russian government and military., null, www.satellitedebris.net 12/12, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/043B.HTM&act=print, http://russianforces.org/blog/2010/09/gonets-m_strela-3_and_strela-3.shtml, null, null, null, null, 2010, 43, C, null, *, +, COSMOS 2468, CIS, 2010-01-08, PLMSC, null, 82.5, null, 1502, 1480, 1.453, null
Rodnik (Cosmos 2481. Strela 3M), Russia, Russia, Ministry of Defense, Military, Communications, null, LEO, Polar, 0, 1481, 1512, 0.0019703807284052626, 82.5, 115.9, 280, null, 300, 2012-07-28, 5 yrs., OAO ISS, Russia, Plesetsk Cosmodrome, Rokot, 2012-041A, 38733, null, null, www.satellitedebris.net 12/12, http://russianforces.org/blog/2012/07/successful_launch_of_strela-3.shtml, http://www.zarya.info/Diaries/Launches/Launches.php?year=2012, null, null, null, null, 2012, 41, A, null, *, +, COSMOS 2481, CIS, 2012-01-28, PLMSC, null, 82.5, null, 1511, 1482, 0.901, null
Rodnik (Cosmos 2482. Strela 3M), Russia, Russia, Ministry of Defense, Military, Communications, null, LEO, Polar, 0, 1473, 1516, 0.0027338038018945897, 82.5, 115.86, 250, null, 300, 2013-01-15, 5 yrs., OAO ISS, Russia, Plesetsk Cosmodrome, Rokot, 2013-001A, 39057, null, null, SC - ASCR, http://russianforces.org/blog/2013/01/three_military_communication_s.shtml, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, 2013, 1, A, null, *, +, COSMOS 2482, CIS, 2013-01-15, PLMSC, null, 82.5, null, 1516, 1473, 1.7487, null
Rodnik (Cosmos 2483. Strela 3M), Russia, Russia, Ministry of Defense, Military, Communications, null, LEO, Polar, 0, 1473, 1516, 0.0027338038018945897, 82.5, 115.86, 250, null, 300, 2013-01-15, 5 yrs., OAO ISS, Russia, Plesetsk Cosmodrome, Rokot, 2013-001B, 39058, null, null, SC - ASCR, null, null, null, null, null, null, 2013, 1, B, null, *, +, COSMOS 2483, CIS, 2013-01-15, PLMSC, null, 82.5, null, 1503, 1477, 2.231, null
Rodnik (Cosmos 2484. Strela 3M), Russia, Russia, Ministry of Defense, Military, Communications, null, LEO, Polar, 0, 1475, 1514, 0.0024794964714857904, 82.5, 115.86, 250, null, 300, 2013-01-15, 5 yrs., OAO ISS, Russia, Plesetsk Cosmodrome, Rokot, 2013-001C, 39059, null, null, SC - ASCR, http://russianforces.org/blog/2013/01/three_military_communication_s.shtml, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, 2013, 1, C, null, *, +, COSMOS 2484, CIS, 2013-01-15, PLMSC, null, 82.5, null, 1514, 1474, 1.474, null
Rodnik (Cosmos 2488. Strela 3M), Russia, Russia, Ministry of Defense, Military, Communications, null, LEO, Polar, 0, 1478, 1509, 0.0019711324473834805, 82.5, 115.9, 280, null, 300, 2013-12-25, 5 yrs., OAO ISS, Russia, Plesetsk Cosmodrome, Rokot, 2013-076A, 39483, null, null, SC - ASCR, http://russianforces.org/blog/2013/12/rockot_launches_three_communic.shtml, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, http://www.russianspaceweb.com/rodnik.html, null, null, null, 2013, 76, A, null, *, +, COSMOS 2488, CIS, 2013-01-25, PLMSC, null, 82.5, null, 1511, 1478, 1.5568, null
Rodnik (Cosmos 2489. Strela 3M), Russia, Russia, Ministry of Defense, Military, Communications, null, LEO, Polar, 0, 1477, 1507, 0.001907911472907657, 82.5, 115.8, 280, null, 300, 2013-12-25, 5 yrs., OAO ISS, Russia, Plesetsk Cosmodrome, Rokot, 2013-076B, 39484, null, null, SC - ASCR, http://russianforces.org/blog/2013/12/rockot_launches_three_communic.shtml, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, http://www.russianspaceweb.com/rodnik.html, null, null, null, 2013, 76, B, null, *, +, COSMOS 2489, CIS, 2013-01-25, PLMSC, null, 82.5, null, 1513, 1476, 1.7028, null
